"","x"
"1","CF836960"
"2","CD574615"
"3","CV885591"
"4","CK937771"
"5","CX045383"
"6","CK934803"
"7","CX290687"
"8","CF835209"
"9","AU300809"
"10","CB290743"
"11","CK937500"
"12","CK934225"
"13","BQ622937"
"14","CV711075"
"15","CX046087"
"16","CN182056"
"17","CF509035"
"18","CV886451"
"19","CX044856"
"20","CX294019"
"21","CF507904"
"22","CK933446"
"23","DN958759"
"24","CK933113"
"25","CV706080"
"26","CX069614"
"27","CB290270"
"28","CV708434"
"29","BQ624330"
"30","CX303326"
"31","CN183673"
"32","CK933940"
"33","CF510249"
"34","CK937462"
"35","CV885591"
"36","CX637693"
"37","CB290743"
"38","CX291072"
"39","CK939784"
"40","CN190788"
"41","CX294019"
"42","CN183673"
"43","CX641929"
"44","DN625776"
"45","CF506570"
"46","CX077423"
"47","CX302610"
"48","CX675186"
"49","CX666631"
"50","CX296119"
"51","CX297964"
"52","CX542932"
"53","CN190764"
"54","CV708459"
"55","CK934280"
"56","CK938732"
"57","CK935824"
"58","DN618359"
"59","CX543436"
"60","CK936214"
"61","CX294549"
"62","CV718593"
"63","CX044924"
"64","CF508396"
"65","CX643843"
"66","CN184953"
"67","CK935841"
"68","CX640562"
"69","CX672642"
"70","CN184097"
"71","CN182946"
"72",""
"73","CX542931"
"74","CX308509"
"75","CN181971"
"76","CN192123"
"77","CF833252"
"78","CX290602"
"79","CX073940"
"80","DN618117"
"81","CN186467"
"82","CF509924"
"83","CK934819"
"84","CK933074"
"85","CX044199"
"86","CV719894"
"87","DN619806"
"88","CF837795"
"89","DN621370"
"90","CX545818"
"91","CB290928"
"92","CX045954"
"93","CF833279"
"94","CV887291"
"95","CX297083"
"96","CX640562"
"97","CB322104"
"98","CN190764"
"99","CB292529"
"100","CX050079"
"101","CV884507"
"102","CV717371"
"103","CB292745"
"104","CX666292"
"105","CX071636"
"106","CX069526"
"107","CF833087"
"108","CK936433"
"109","CV886325"
"110","CK940128"
"111","CX295146"
"112","CK939963"
"113","CF507442"
"114","CF834294"
"115","CF508234"
"116","CN186563"
"117","CN182220"
"118","CK936236"
"119","CX666020"
"120","CF831123"
"121","CN183623"
"122","CX049215"
"123","CX287836"
"124","CV706250"
"125","CX543499"
"126","CX043530"
"127","CV885113"
"128","CF509231"
"129","DR403255"
"130","CV710106"
"131","CX673652"
"132","CX640767"
"133","CX044393"
"134","DN957863"
"135","CV714374"
"136","CK935677"
"137","CK939972"
"138","CN190501"
"139","CX073173"
"140","CF418599"
"141","CF506094"
"142","CF832471"
"143","CF829440"
"144","CX641929"
"145","CX290062"
"146","CV710546"
"147","CV709277"
"148","CF836851"
"149","CF832799"
"150","CN186513"
"151","CN185220"
"152","CX294438"
"153","CX543674"
"154","CK933171"
"155","CX666282"
"156","CX043276"
"157","CF838393"
"158","CX638382"
"159","CX069947"
"160","CK936380"
"161","CX290256"
"162","CF837172"
"163","CX309407"
"164","CN187005"
"165","CK935615"
"166","CK940092"
"167","CK934140"
"168","CF417719"
"169","CX294586"
"170","CB290674"
"171","DR405594"
"172","CX666736"
"173","CN188179"
"174","CX308024"
"175","CX299972"
"176","CK933958"
"177","DN619965"
"178","DN958104"
"179","CF504191"
"180","CX671683"
"181","CV886618"
"182","CX665784"
"183","CF508960"
"184","CF509114"
"185","CV887060"
"186","CX294199"
"187","CK935823"
"188","CF837351"
"189","CX674852"
"190","CK701935"
"191","CX298848"
"192","CK936318"
"193","CX044256"
"194","CB611046"
"195","CK935959"
"196","CX071878"
"197","CF836363"
"198","CX637428"
"199","CX292437"
"200","CK739657"
"201","CX544645"
"202","CF835325"
"203","CN190814"
"204","CB291296"
"205","BQ624049"
"206","CX671223"
"207","CK939784"
"208","CX044184"
"209","CX043829"
"210","CF507786"
"211","CK939426"
"212","CX675485"
