ID,adj.P.Val,P.Value,logFC,GB_ACC
Cit.7482.1.S1_at,3.94e-05,6.62e-09,4.4786657,CF836960
Cit.11965.1.S1_at,3.94e-05,7.29e-09,4.3014831,CD574615
Cit.12048.1.S1_s_at,3.94e-05,9.27e-09,4.0269724,CV885591
Cit.18242.1.S1_s_at,3.94e-05,1.03e-08,4.8927419,CK937771
Cit.7043.1.S1_at,3.94e-05,1.54e-08,-6.3574328,CX674833
Cit.12693.1.S1_at,3.94e-05,1.69e-08,4.1177031,CX045383
Cit.19350.1.S1_s_at,3.94e-05,1.74e-08,4.4412162,CK934803
Cit.6511.1.S1_at,3.94e-05,1.78e-08,-7.5194594,CX676351
Cit.32220.1.S1_at,3.94e-05,1.8e-08,4.9364775,CX290687
Cit.2630.1.S1_a_at,3.94e-05,1.81e-08,-4.5043424,CF417203
Cit.106.1.S1_s_at,3.94e-05,1.92e-08,4.4661655,CF835209
Cit.31860.1.S1_s_at,3.94e-05,1.92e-08,3.2428183,AU300809
Cit.11964.1.S1_s_at,3.94e-05,2.08e-08,3.9125509,CB290743
Cit.28102.1.S1_s_at,3.94e-05,2.09e-08,-4.3607663,CX673765
Cit.17933.1.S1_s_at,3.94e-05,2.09e-08,4.5364275,CK937500
Cit.19396.1.S1_s_at,3.94e-05,2.13e-08,6.2215936,CK934225
Cit.13065.1.S1_at,3.94e-05,2.21e-08,-4.8641609,CX669149
Cit.8185.1.S1_at,4.16e-05,2.47e-08,6.9256331,BQ622937
Cit.13018.1.S1_s_at,4.56e-05,2.96e-08,-3.5566582,DN622781
Cit.3949.1.S1_s_at,4.56e-05,3.14e-08,5.2721533,CV711075
Cit.3746.1.S1_s_at,4.56e-05,3.16e-08,3.3006784,CX046087
Cit.30950.1.S1_at,4.64e-05,3.44e-08,5.316091,CN182056
Cit.5973.1.S1_s_at,4.64e-05,3.9e-08,-6.038634,CX635178
Cit.17886.1.S1_s_at,4.64e-05,3.92e-08,-3.2758022,CK939377
Cit.13424.1.S1_at,4.64e-05,4.09e-08,3.3141464,CF509035
Cit.23598.1.S1_s_at,4.64e-05,4.23e-08,-3.4189856,CV704272
Cit.1017.1.S1_x_at,4.64e-05,4.24e-08,5.1836794,CV886451
Cit.7969.1.S1_x_at,4.64e-05,4.29e-08,-3.9173465,CX048924
Cit.5512.1.S1_at,4.66e-05,4.46e-08,-2.6815689,CX664109
Cit.6134.1.S1_at,4.8e-05,4.85e-08,3.760851,CX044856
